framework,model_key,task_id,rep,delta_variable_recovery_rate,delta_subtask_completion_rate,delta_plan_continuity_rate,delta_constraint_retention_rate,delta_handoff_success,delta_state_error_count
langgraph,azure_gpt_chat_latest,H004,1,0.0,0.0,0.0,1.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H004,2,-1.0,0.0,-1.0,-1.0,0.0,2.0
langgraph,azure_gpt_chat_latest,H004,2,0.0,0.0,0.0,1.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H004,3,-1.0,0.0,0.0,-1.0,0.0,99.0
langgraph,azure_gpt_chat_latest,H004,3,0.0,0.0,0.25,0.0,0.0,1.0
langgraph,azure_gpt_5_4_high,H005,1,-1.0,0.0,-0.5,-1.0,0.0,1.0
langgraph,azure_gpt_chat_latest,H005,1,0.0,-0.25,-0.75,0.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H005,2,-1.0,0.0,-0.75,-1.0,0.0,2.0
langgraph,azure_gpt_chat_latest,H005,2,0.0,-0.25,0.0,0.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H005,3,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H005,3,0.0,0.5,0.75,0.0,1.0,0.0
langgraph,azure_gpt_5_4_high,H006,1,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
langgraph,azure_gpt_chat_latest,H006,1,0.0,-1.0,-0.25,-1.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H006,2,1.0,0.0,0.5,1.0,0.0,-99.0
langgraph,azure_gpt_chat_latest,H006,2,0.0,-1.0,-1.0,0.0,-1.0,0.0
langgraph,azure_gpt_5_4_high,H006,3,0.0,0.0,0.0,0.0,0.0,-94.0
langgraph,azure_gpt_chat_latest,H006,3,0.0,-1.0,-0.25,0.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H007,1,-0.25,0.0,-0.25,0.0,0.0,-1.0
langgraph,azure_gpt_chat_latest,H007,1,-0.25,0.0,-0.25,0.0,0.0,-1.0
langgraph,azure_gpt_5_4_high,H007,2,0.0,0.0,-0.75,0.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H007,2,0.0,0.0,-0.75,0.0,0.0,-1.0
langgraph,azure_gpt_5_4_high,H007,3,0.25,0.0,-1.0,0.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H007,3,0.0,0.0,-0.5,0.0,0.0,1.0
langgraph,azure_gpt_5_4_high,H008,1,-1.0,-1.0,-0.75,-1.0,0.0,3.0
langgraph,azure_gpt_chat_latest,H008,1,0.0,0.0,0.0,0.0,0.0,-3.0
langgraph,azure_gpt_5_4_high,H008,2,0.19999999999999996,-1.0,-0.25,0.0,0.0,-2.0
langgraph,azure_gpt_chat_latest,H008,2,0.0,0.0,0.0,0.0,0.0,-3.0
langgraph,azure_gpt_5_4_high,H008,3,0.0,0.0,0.0,1.0,0.0,1.0
langgraph,azure_gpt_chat_latest,H008,3,0.0,-1.0,-1.0,0.0,0.0,-2.0
langgraph,azure_gpt_5_4_high,H009,1,0.0,0.0,0.0,0.0,0.0,-94.0
langgraph,azure_gpt_chat_latest,H009,1,0.0,-0.25,0.0,0.0,0.0,-3.0
langgraph,azure_gpt_5_4_high,H009,2,0.0,0.0,0.0,0.0,0.0,-94.0
langgraph,azure_gpt_chat_latest,H009,2,-0.5,-0.5,-0.25,1.0,0.0,3.0
langgraph,azure_gpt_5_4_high,H009,3,0.0,-0.25,-0.25,0.0,0.0,3.0
langgraph,azure_gpt_chat_latest,H009,3,-0.5,-0.5,0.0,1.0,0.0,3.0
langgraph,azure_gpt_5_4_high,H010,1,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,azure_gpt_chat_latest,H010,1,-0.5,1.0,0.0,0.0,0.0,0.0
langgraph,azure_gpt_5_4_high,H010,2,-1.0,0.0,-1.0,-1.0,0.0,97.0
langgraph,azure_gpt_chat_latest,H010,2,-0.5,0.0,0.0,0.5,0.0,0.0
langgraph,azure_gpt_5_4_high,H010,3,-1.0,0.0,-0.5,-1.0,0.0,98.0
langgraph,azure_gpt_chat_latest,H010,3,0.0,0.0,-0.25,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H001,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H001,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H001,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H002,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H002,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H002,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H003,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H003,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H003,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H004,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H004,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H004,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H005,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H005,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H005,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H006,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H006,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H006,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H007,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H007,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H007,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H008,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H008,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H008,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H009,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H009,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H009,3,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H010,1,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H010,2,0.0,0.0,0.0,0.0,0.0,0.0
openfang,azure_gpt_chat_latest,H010,3,0.0,0.0,0.0,0.0,0.0,0.0
