scenario_id,round,mode,rep,model_route,status,error_class,changed_files
M003,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M003,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M004,1,grok_v1_final_json,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M004,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M004,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M004,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M004,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M004,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M004,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M004,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M004,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M004,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M005,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M005,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M005,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M005,1,grok_v2_template_lock,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M005,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M005,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M005,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,index.html
M005,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M005,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M005,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M006,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M006,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M006,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M006,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M006,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M006,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M006,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M006,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M006,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M006,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M007,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M007,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M007,1,grok_v2_template_lock,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M007,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M007,1,grok_v3_patch_min,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M007,1,grok_v3_patch_min,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M007,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,403_consumer_suspended,
M007,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M007,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M007,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M008,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M008,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M008,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M008,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M008,1,grok_v3_patch_min,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M008,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M008,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M008,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M008,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,error,403_consumer_suspended,
M008,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,error,403_consumer_suspended,
M009,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M009,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M009,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M009,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M009,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M009,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M009,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,403_consumer_suspended,
M009,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M009,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,error,403_consumer_suspended,
M009,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M010,1,grok_v1_final_json,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M010,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M010,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M010,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M010,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M010,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M010,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,403_consumer_suspended,
M010,1,grok_v4_schema_echo,2,grok_4_20_reasoning,error,403_consumer_suspended,
M010,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M010,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M011,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M011,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M011,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M011,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M011,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M011,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M011,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,403_consumer_suspended,
M011,1,grok_v4_schema_echo,2,grok_4_20_reasoning,error,403_consumer_suspended,
M011,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,error,403_consumer_suspended,
M011,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,error,403_consumer_suspended,
M012,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M012,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M012,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M012,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M012,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M012,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M012,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,403_consumer_suspended,
M012,1,grok_v4_schema_echo,2,grok_4_20_reasoning,error,401_auth,
M012,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M012,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M013,1,grok_v1_final_json,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M013,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M013,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M013,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M013,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M013,1,grok_v3_patch_min,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M013,1,grok_v4_schema_echo,1,grok_4_20_reasoning,ok,,"index.html,styles.css"
M013,1,grok_v4_schema_echo,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M013,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,error,401_auth,
M013,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,error,401_auth,
M014,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M014,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M014,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M014,1,grok_v2_template_lock,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M014,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M014,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M014,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,401_auth,
M014,1,grok_v4_schema_echo,2,grok_4_20_reasoning,error,401_auth,
M014,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,error,401_auth,
M014,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,error,401_auth,
M015,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M015,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M015,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M015,1,grok_v2_template_lock,2,grok_4_20_reasoning,ok,,"index.html,styles.css"
M015,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M015,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M015,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,401_auth,
M015,1,grok_v4_schema_echo,2,grok_4_20_reasoning,error,401_auth,
M015,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,error,401_auth,
M015,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,error,401_auth,
M016,1,grok_v1_final_json,1,grok_4_20_reasoning,error,429_resource_exhausted,
M016,1,grok_v1_final_json,2,grok_4_20_reasoning,error,429_resource_exhausted,
M016,1,grok_v2_template_lock,1,grok_4_20_reasoning,error,429_resource_exhausted,
M016,1,grok_v2_template_lock,2,grok_4_20_reasoning,error,429_resource_exhausted,
M016,1,grok_v3_patch_min,1,grok_4_20_reasoning,error,429_resource_exhausted,
M016,1,grok_v3_patch_min,2,grok_4_20_reasoning,error,429_resource_exhausted,
M016,1,grok_v4_schema_echo,1,grok_4_20_reasoning,error,401_auth,
M016,1,grok_v4_schema_echo,2,grok_4_20_reasoning,error,401_auth,
M016,1,grok_v5_two_phase_hidden,1,grok_4_20_reasoning,error,401_auth,
M016,1,grok_v5_two_phase_hidden,2,grok_4_20_reasoning,error,401_auth,
